2026-06-10 15:05:00,216 | INFO     | run_experiment:254 | Starting experiment: llm-explanation-agreement-study v1.0
2026-06-10 15:05:00,216 | INFO     | run_experiment:255 | Output directory: outputs\20260610_150500
2026-06-10 15:05:00,221 | INFO     | run_experiment:276 | Processing dataset: sst2
2026-06-10 15:05:00,689 | DEBUG    | config:54 | PyTorch version 2.9.1 available.
2026-06-10 15:05:01,048 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): huggingface.co:443
2026-06-10 15:05:01,786 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/main/README.md HTTP/1.1" 307 0
2026-06-10 15:05:01,886 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/datasets/stanfordnlp/sst2/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/README.md HTTP/1.1" 200 0
2026-06-10 15:05:02,223 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/sst2.py HTTP/1.1" 404 0
2026-06-10 15:05:02,225 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): s3.amazonaws.com:443
2026-06-10 15:05:03,222 | DEBUG    | connectionpool:544 | https://s3.amazonaws.com:443 "HEAD /datasets.huggingface.co/datasets/datasets/stanfordnlp/sst2/stanfordnlp/sst2.py HTTP/1.1" 404 0
2026-06-10 15:05:03,555 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/revision/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb HTTP/1.1" 200 None
2026-06-10 15:05:03,879 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/.huggingface.yaml HTTP/1.1" 404 0
2026-06-10 15:05:03,881 | DEBUG    | connectionpool:1049 | Starting new HTTPS connection (1): datasets-server.huggingface.co:443
2026-06-10 15:05:04,443 | DEBUG    | connectionpool:544 | https://datasets-server.huggingface.co:443 "GET /info?dataset=stanfordnlp/sst2 HTTP/1.1" 200 None
2026-06-10 15:05:04,775 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/data?recursive=True&expand=False HTTP/1.1" 200 941
2026-06-10 15:05:05,106 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "GET /api/datasets/stanfordnlp/sst2/tree/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb?recursive=False&expand=False HTTP/1.1" 200 291
2026-06-10 15:05:05,427 | DEBUG    | connectionpool:544 | https://huggingface.co:443 "HEAD /datasets/stanfordnlp/sst2/resolve/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/dataset_infos.json HTTP/1.1" 404 0
2026-06-10 15:05:05,432 | DEBUG    | _api:331 | Attempting to acquire lock 1720192259744 on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:05:05,432 | DEBUG    | _api:334 | Lock 1720192259744 acquired on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:05:05,433 | DEBUG    | local:379 | open file: C:/Users/Heroa/.cache/huggingface/datasets/stanfordnlp___sst2/default/0.0.0/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/dataset_info.json
2026-06-10 15:05:05,440 | DEBUG    | _api:364 | Attempting to release lock 1720192259744 on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:05:05,441 | DEBUG    | _api:367 | Lock 1720192259744 released on C:\Users\Heroa\.cache\huggingface\datasets\_Users_Heroa_.cache_huggingface_datasets_stanfordnlp___sst2_default_0.0.0_8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb.lock
2026-06-10 15:05:05,442 | DEBUG    | _api:331 | Attempting to acquire lock 1720221795024 on C:\Users\Heroa\.cache\huggingface\datasets\stanfordnlp___sst2\default\0.0.0\8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb_builder.lock
2026-06-10 15:05:05,443 | DEBUG    | _api:334 | Lock 1720221795024 acquired on C:\Users\Heroa\.cache\huggingface\datasets\stanfordnlp___sst2\default\0.0.0\8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb_builder.lock
2026-06-10 15:05:05,443 | DEBUG    | local:379 | open file: C:/Users/Heroa/.cache/huggingface/datasets/stanfordnlp___sst2/default/0.0.0/8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb/dataset_info.json
2026-06-10 15:05:05,444 | DEBUG    | _api:364 | Attempting to release lock 1720221795024 on C:\Users\Heroa\.cache\huggingface\datasets\stanfordnlp___sst2\default\0.0.0\8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb_builder.lock
2026-06-10 15:05:05,444 | DEBUG    | _api:367 | Lock 1720221795024 released on C:\Users\Heroa\.cache\huggingface\datasets\stanfordnlp___sst2\default\0.0.0\8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb_builder.lock
2026-06-10 15:05:05,447 | INFO     | dataset_loader:60 | Loaded dataset stanfordnlp/sst2 (split=validation): 872 instances
2026-06-10 15:05:05,465 | INFO     | dataset_loader:99 | Sampled 200 balanced instances (200 target, 2 labels)
2026-06-10 15:05:05,466 | INFO     | run_experiment:299 | Loaded 200 instances for sst2
2026-06-10 15:05:05,466 | INFO     | run_experiment:307 | Processing model: llama-3.3-70b on sst2
2026-06-10 15:05:05,466 | INFO     | run_experiment:319 | Processing sst2_validation_0000 (1/200)
2026-06-10 15:05:05,467 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0000: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,467 | INFO     | run_experiment:319 | Processing sst2_validation_0001 (2/200)
2026-06-10 15:05:05,467 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0001: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,467 | INFO     | run_experiment:319 | Processing sst2_validation_0002 (3/200)
2026-06-10 15:05:05,467 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0002: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,468 | INFO     | run_experiment:319 | Processing sst2_validation_0003 (4/200)
2026-06-10 15:05:05,468 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0003: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,468 | INFO     | run_experiment:319 | Processing sst2_validation_0004 (5/200)
2026-06-10 15:05:05,468 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0004: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,468 | INFO     | run_experiment:319 | Processing sst2_validation_0005 (6/200)
2026-06-10 15:05:05,468 | ERROR    | run_experiment:327 | Failed to process sst2_validation_0005: [API000] GROQ_API_KEY is not set.
2026-06-10 15:05:05,468 | INFO     | run_experiment:319 | Processing sst2_validation_0006 (7/200)
